127	1053	7	16.45
14921	917	3	39.74
695	2793	3	22.42
664	3440	5	44.99
125	2413	3	7.39
312	1259	9	55.95
6155	267	4	33.66
315	5614	3	23.85
435	579	74	705.74
1070	119	5	6.82
223	1322	3	9.89
452	5625	3	26.04
3671	2043	3	32.08
101	315	108	48.33
940	18906	5	78.63
2529	634	11	106.37
101	5017	6	5.21
2945	243	3	16.11
195	6926	16	176.75
3968	241	3	18.55
101	6882	7	13.44
102	6634	9	23.26
7647	106	5	14.89
519	2300	35	405.13
223	6057	4	31.36
3520	108	4	4.28
6493	1619	6	79.87
334	9572	16	227.51
1094	125	6	12.46
932	291	6	27.55
1446	14	183	898.41
392	148	5	4.29
1115	2506	3	24.63
195	2740	4	20.26
17491	39	3	23.63
134	671	8	16.47
2055	5695	3	36
17140	110	3	19.35
101	1025	26	6.14
489	4668	3	24.87
605	215	35	218.05
2474	101	21	26.55
396	145	7	8.81
2025	142	3	8.31
1040	160	6	18.73
1844	2347	4	39.12
1238	628	3	16.06
186	457	5	8.5
695	134	22	87.3
875	6133	5	56.88
2294	16	100	750.36
820	378	6	28.99
5328	102	6	7.39
1549	2144	5	47.88
223	22371	3	35.93
400	335	9	35.48
1177	117	8	16.62
185	918	7	24.7
761	109	16	8.44
4865	13993	4	71.91
820	2117	5	40.82
126	20965	4	39.94
585	120	7	6.54
103	4554	6	6.82
2467	422	3	18.31
1894	187	3	10.52
101	3313	13	14.89
102	4056	7	6.13
5784	1316	3	33.08
733	113	17	38.49
101	1455	23	11.36
101	4153	8	7.23
104	2603	15	25.5
286	475	6	19.37
134	3672	4	18.25
832	561	3	12.82
223	664	8	29.77
196	1256	6	24.39
5537	1658	5	62.35
101	7379	4	4.51
120	496	25	69.2
1273	2488	9	96.79
8	597	33	167.61
1810	487	3	17.2
2836	101	14	13.15
4038	108	4	5.49
6121	102	6	9.57
836	11534	5	67.38
5193	149	4	23.94
24062	101	3	14.67
587	218	4	8.42
2600	118	5	15.27
895	13902	5	71.23
1584	114	7	15.59
110	2611	5	9.52
2817	110	5	10.39
646	280	4	11.89
112	872	11	20.28
16	1292	12	17.51
511	1654	3	16.72
515	139	11	24.66
108	5259	8	26.42
958	753	7	47.76
451	1608	22	205.04
210	132	64	208.49
2158	731	6	49.87
211	516	3	3.97
1293	695	3	16.91
811	1272	4	26.05
506	2930	3	21.03
2449	251	3	14.91
174	4388	3	16.66
438	694	7	35.38
950	759	3	15.48
1527	131	3	5.31
720	1013	4	22.93
148	127	99	276.69
13665	113	4	29.24
16292	243	5	61.43
9798	101	6	16.27
108	6050	3	5.58
107	8033	3	7.56
4598	1211	4	42.86
5116	102	27	116.36
299	1177	10	61.36
293	370	3	4.88
1762	104	26	47.38
2370	472	3	19
680	325	3	8.52
961	7253	8	105.39
166	1657	23	159.63
209	17031	4	44.57
108	1323	37	103.21
2338	3659	5	60.3
1570	398	3	14.83
546	1023	8	52.79
413	107	54	64.55
3909	339	4	30.42
3298	103	8	7.3
109	274	86	121.87
112	1760	4	5.87
104	9943	3	6.88
549	15660	3	37.25
564	277	3	6.61
2765	162	7	40.17
652	122	11	20.79
181	728	3	4.64
237	2857	4	23.11
147	676	26	120.81
750	284	3	8.25
238	750	3	6.76
783	382	10	57.46
2767	133	5	20.56
1809	692	4	27.84
114	3970	3	8.65
1909	1821	3	25.97
376	533	4	12.77
1497	1675	3	23.6
567	1239	4	22.9
110	3967	6	19.84
263	477	3	5.43
837	607	3	13.31
446	8004	3	29.17
2689	216	3	14.13
108	439	30	17.19
2755	128	3	8.67
510	449	3	8.8
108	4893	8	24.8
185	9717	5	46.01
959	284	3	9.77
2491	102	15	14.95
1473	104	17	13.63
3592	1173	9	104.66
3150	101	9	4.89
2124	106	9	7.99
309	6086	5	45.99
19117	1555	4	66.31
107	14313	4	20.39
664	2865	4	32.24
693	530	19	141.24
1241	376	6	34.36
225	5649	3	21.15
12800	8673	3	56.61
586	1082	3	14.77
103	5013	7	11.41
4889	4310	7	107.8
103	256	127	91.85
1216	1560	3	21.77
1246	117	17	61.22
284	944	25	185.14
190	2481	3	12.53
102	3616	8	6.82
2	592	4	10.42
104	689	29	12.97
2649	101	22	33.59
795	2306	6	52.09
102	2007	20	20.72
286	2898	5	34.16
323	2137	3	15.83
1661	2559	3	27.45
3356	138	6	30.86
19567	104	3	14.2
1413	168	6	23.39
485	997	6	34.64
101	6223	10	23.27
2052	1636	3	25.68
18573	14	4	17.02
2326	744	7	61.85
1302	127	3	4.03
276	125	203	1246.22
4272	39	6	27.15
155	1128	6	18.38
184	992	8	31.6
1071	109	12	7.65
108	12174	3	11.81
974	3833	4	38.87
2095	480	9	74.28
140	11796	3	22.89
467	119	31	94.45
5674	159	3	17.95
101	23623	3	12.52
2835	124	3	8.47
345	620	6	24.55
13291	109	3	13.13
3186	102	12	14.37
1747	468	4	24.62
909	939	3	16.63
792	5082	4	40.3
1994	114	3	3.86
104	1279	31	46.45
103	1411	18	10.08
102	488	41	5.3
255	2660	6	40
196	148	58	199.02
4380	190	4	25.28
640	261	3	6.76
1154	202	4	12.69
738	209	3	5.59
1824	139	21	129.12
4609	268	12	118.47
938	1336	4	27.74
1415	1003	3	19.82
3653	192	13	108.09
101	4446	8	8.18
3076	1088	4	37.35
15006	101	6	26.96
159	4768	11	90.69
3939	2891	3	35.45
1027	341	5	23.76
458	640	3	10.16
549	3696	3	23.48
104	7651	5	12.49
105	8046	7	26.86
997	1593	4	29.79
491	900	3	12.65
101	584	112	151.93
104	3690	13	30.48
557	573	3	10.53
24264	4854	4	86.33
1521	1633	3	23.53
309	6305	3	24.71
826	5687	9	110.86
794	215	21	121.02
1270	302	6	31.93
342	3162	18	183.38
13327	104	5	22.43
8	1685	5	17.99
110	16101	3	19.35
154	109	83	16.13
104	16995	3	12.03
729	1166	6	41.18
8405	11384	4	75.88
4398	103	7	9.28
385	722	5	21.11
3996	118	3	9.63
926	114	6	6.23
925	504	8	49.92
1598	113	4	5.2
1568	191	3	9.44
5464	752	8	93.36
201	1488	13	77.87
154	14746	3	26.54
1669	1217	11	110.86
39	16602	7	71.35
419	5453	5	47.17
807	947	5	31.52
255	9212	3	26.9
363	13683	9	128.41
210	7689	3	23.21
376	229	8	21.59
1185	13411	3	40.79
179	2872	3	13.27
39	1439	6	11.26
1836	2933	3	29.4
6444	107	13	64.82
307	4050	13	129.89
3884	130	8	46.11
45	3394	11	56.07
149	4083	3	14.21
849	168	4	8.61
145	193	12	8.47
438	8220	4	41.57
535	147	74	466.28
102	11169	3	5.92
3061	251	3	16.83
105	9589	3	7.95
2001	120	8	27.66
7180	589	4	42.28
2929	138	3	10.35
231	3877	12	106.33
327	229	4	5.21
808	521	3	12.24
6847	207	4	31.79
836	4509	3	27.66
896	163	4	8.83
1437	404	3	14.28
110	6022	3	9.36
171	5716	3	18.75
4357	251	4	28.67
1640	113	6	12.04
617	111	11	10.99
10621	569	5	61.69
1194	378	3	12.85
231	589	4	9.09
803	319	67	628.63
6696	10708	11	230.83
4985	108	3	4.21
1052	106	54	137.89
2075	104	15	18.22
1838	715	3	19.44
779	302	3	8.85
174	2352	4	17.58
335	173	6	7.77
11297	114	4	26.39
334	542	3	7.47
146	1120	5	12.82
1644	109	16	28.25
721	156	18	75.82
117	1602	8	21.45
4142	103	10	17.69
533	1092	17	139.94
103	10583	4	10.92
28672	6960	3	67.92
888	1567	4	28.59
474	127	7	7.26
1076	1446	4	29.49
5011	203	3	18.88
1432	134	6	17.98
635	8671	6	73.37
950	307	4	15.88
2314	1691	6	62.25
117	4006	3	9.25
1357	140	6	18.08
18530	104	3	13.01
1262	2045	4	34.35
179	1591	9	45.95
3722	101	20	44.36
1328	2137	19	228.69
115	661	10	13.47
1233	245	3	10.09
842	4666	8	91.58
3132	6026	7	106.16
648	1281	5	32.5
126	15646	3	24.25
16	3236	5	9.37
1220	3103	4	38.6
1437	371	4	20.69
201	7365	3	22.41
925	805	3	15.7
5175	109	3	4.59
862	103	298	1530.83
1021	677	3	15.2
101	28150	4	25.44
677	1021	3	15.2
1161	169	12	58.14
1673	348	4	21.77
16	135	115	71.19
3872	107	14	48.65
809	881	4	22.79
501	833	3	12.26
104	11943	4	14.22
5679	257	3	22.42
407	663	3	9.54
950	1486	12	112.99
101	12933	4	10.84
1260	372	5	26.87
103	13785	3	8.73
21731	273	3	37.72
15776	14	3	8.76
115	2039	3	4.28
119	130	140	309.05
39	1645	4	5.89
237	471	4	7.93
470	4205	3	23.77
338	690	3	8.85
117	2533	3	5.82
11750	102	5	15.85
4716	109	32	202.83
274	369	12	47.29
144	788	6	12.72
104	11646	3	8.36
2214	120	19	103.03
2886	2595	4	44.86
9695	14	9	33.77
